"Categories Data Filtered by: Selected JCR Year: 2016 Selected Editions: SCIE,SSCI",,,,,,,,,,
Rank,Category,Edition,# Journals,Articles,Total Cites,Median Impact Factor,Aggregate Impact Factor,Aggregate Immediacy Index,Aggregate Cited Half-Life,Aggregate Citing Half-Life
1,ACOUSTICS,SCIE,31,"5,088","160,629",1.547,2.102,0.528,>10.0,9.6
2,AGRICULTURAL ECONOMICS & POLICY,SCIE,17,749,"19,763",1.052,1.399,0.243,8.7,9.0
3,AGRICULTURAL ENGINEERING,SCIE,14,"3,849","150,733",0.946,3.479,0.761,5.8,6.7
4,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",SCIE,58,"6,974","168,125",0.827,1.362,0.266,9.1,>10.0
5,"AGRICULTURE, MULTIDISCIPLINARY",SCIE,56,"7,019","186,050",0.740,1.593,0.277,8.7,9.4
6,AGRONOMY,SCIE,83,"8,911","262,113",0.916,1.790,0.366,8.9,9.9
7,ALLERGY,SCIE,26,"2,438","119,917",3.144,4.677,1.122,6.7,7.0
8,ANATOMY & MORPHOLOGY,SCIE,21,"2,113","59,199",1.211,1.663,0.416,9.6,>10.0
9,ANDROLOGY,SCIE,5,493,"6,640",1.458,2.017,0.751,4.2,8.9
10,ANESTHESIOLOGY,SCIE,31,"4,131","186,372",2.312,3.087,0.799,8.6,7.7
11,ANTHROPOLOGY,SSCI,82,"2,918","108,400",0.958,1.633,0.368,>10.0,>10.0
12,AREA STUDIES,SSCI,69,"2,249","29,611",0.568,0.640,0.173,9.8,>10.0
13,ASTRONOMY & ASTROPHYSICS,SCIE,63,"19,374","979,492",2.010,4.159,1.526,7.8,8.3
14,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,SCIE,25,"2,173","92,104",1.547,1.729,0.370,>10.0,>10.0
15,AUTOMATION & CONTROL SYSTEMS,SCIE,60,"9,558","295,511",1.796,3.021,0.470,6.9,7.8
16,BEHAVIORAL SCIENCES,SCIE,51,"6,830","324,639",2.400,3.040,0.637,8.8,9.4
17,BIOCHEMICAL RESEARCH METHODS,SCIE,78,"14,954","748,776",2.438,3.539,0.738,7.1,7.1
18,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,290,"48,525","3,435,913",2.780,4.207,0.964,8.9,7.9
19,BIODIVERSITY CONSERVATION,SCIE,54,"3,904","182,435",1.143,2.664,0.638,8.3,9.5
20,BIOLOGY,SCIE,85,"10,324","440,905",1.566,2.926,0.723,9.1,8.9
21,BIOPHYSICS,SCIE,73,"12,527","604,801",2.535,3.279,0.846,8.1,8.0
22,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,160,"27,278","1,213,838",2.116,3.515,0.708,7.0,7.3
23,BUSINESS,SSCI,121,"6,639","467,711",1.941,2.557,0.423,>10.0,>10.0
24,"BUSINESS, FINANCE",SSCI,96,"4,208","202,345",1.119,1.601,0.309,>10.0,>10.0
25,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,126,"19,190","943,998",2.325,4.435,1.169,6.9,6.7
26,CELL & TISSUE ENGINEERING,SCIE,21,"2,981","102,940",3.485,4.577,0.956,5.0,6.9
27,CELL BIOLOGY,SCIE,190,"31,832","2,044,775",3.227,5.693,1.153,7.7,7.1
28,"CHEMISTRY, ANALYTICAL",SCIE,76,"24,375","791,009",1.985,3.251,0.762,6.9,6.9
29,"CHEMISTRY, APPLIED",SCIE,72,"15,360","507,257",1.550,3.013,0.767,7.1,8.0
30,"CHEMISTRY, INORGANIC & NUCLEAR",SCIE,46,"12,883","419,283",1.803,2.617,0.694,7.7,8.2
31,"CHEMISTRY, MEDICINAL",SCIE,60,"13,762","460,506",2.526,2.812,0.614,6.8,7.9
32,"CHEMISTRY, MULTIDISCIPLINARY",SCIE,166,"66,580","3,088,211",1.865,5.649,1.195,5.5,6.5
33,"CHEMISTRY, ORGANIC",SCIE,59,"20,577","774,862",2.101,3.123,0.771,7.3,7.5
34,"CHEMISTRY, PHYSICAL",SCIE,146,"61,936","2,865,201",2.376,4.960,1.144,6.2,7.1
35,CLINICAL NEUROLOGY,SCIE,194,"26,591","1,171,347",2.429,3.350,0.711,7.7,8.1
36,COMMUNICATION,SSCI,79,"3,359","90,779",1.128,1.495,0.252,9.1,9.5
37,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",SCIE,133,"13,960","457,382",1.807,2.997,0.587,7.2,7.9
38,"COMPUTER SCIENCE, CYBERNETICS",SCIE,22,"1,413","36,970",1.575,2.627,0.606,7.2,8.4
39,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",SCIE,52,"5,578","147,687",1.596,2.120,0.462,8.2,7.2
40,"COMPUTER SCIENCE, INFORMATION SYSTEMS",SCIE,146,"14,716","335,853",1.860,2.345,0.444,6.6,7.2
41,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",SCIE,105,"13,172","378,475",1.909,2.482,0.514,6.9,8.6
42,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,106,"8,789","211,731",1.437,1.670,0.403,8.1,7.8
43,"COMPUTER SCIENCE, THEORY & METHODS",SCIE,104,"8,776","223,797",1.321,2.019,0.517,8.7,8.3
44,CONSTRUCTION & BUILDING TECHNOLOGY,SCIE,61,"8,929","199,630",1.183,2.345,0.430,7.1,8.6
45,CRIMINOLOGY & PENOLOGY,SSCI,58,"2,329","61,790",1.216,1.498,0.322,9.0,>10.0
46,CRITICAL CARE MEDICINE,SCIE,33,"4,748","282,454",2.614,4.483,1.319,7.4,7.1
47,CRYSTALLOGRAPHY,SCIE,26,"6,095","197,267",1.840,2.308,0.573,7.9,8.3
48,CULTURAL STUDIES,SSCI,39,"1,286","17,869",0.692,0.697,0.196,9.4,>10.0
49,DEMOGRAPHY,SSCI,26,929,"30,010",1.200,1.451,0.274,9.7,9.6
50,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,90,"8,962","310,128",1.444,1.996,0.370,8.9,8.9
51,DERMATOLOGY,SCIE,63,"6,859","228,113",1.683,2.498,0.581,7.9,8.2
52,DEVELOPMENTAL BIOLOGY,SCIE,41,"3,846","279,495",2.316,3.643,0.719,9.4,8.7
53,ECOLOGY,SCIE,153,"17,610","1,017,909",1.897,3.240,0.693,9.2,9.5
54,ECONOMICS,SSCI,347,"17,838","722,250",0.931,1.490,0.312,>10.0,>10.0
55,EDUCATION & EDUCATIONAL RESEARCH,SSCI,235,"10,510","267,685",1.107,1.280,0.251,8.9,9.8
56,"EDUCATION, SCIENTIFIC DISCIPLINES",SCIE,41,"3,827","90,794",1.329,1.779,0.401,7.6,8.6
57,"EDUCATION, SPECIAL",SSCI,38,"1,311","37,068",1.168,1.345,0.229,7.9,9.7
58,ELECTROCHEMISTRY,SCIE,29,"16,396","531,031",2.235,4.160,0.937,5.7,6.0
59,EMERGENCY MEDICINE,SCIE,24,"3,571","77,839",1.419,1.936,0.445,6.8,7.6
60,ENDOCRINOLOGY & METABOLISM,SCIE,138,"16,698","933,411",3.046,4.191,0.962,7.4,7.6
61,ENERGY & FUELS,SCIE,92,"32,986","1,031,892",2.203,4.951,1.099,4.6,6.0
62,"ENGINEERING, AEROSPACE",SCIE,31,"3,463","72,310",0.913,1.290,0.265,>10.0,9.9
63,"ENGINEERING, BIOMEDICAL",SCIE,77,"11,707","411,380",2.009,2.949,0.583,6.8,7.8
64,"ENGINEERING, CHEMICAL",SCIE,135,"34,078","1,031,538",1.571,3.446,0.803,6.1,7.6
65,"ENGINEERING, CIVIL",SCIE,125,"18,823","477,977",1.353,2.246,0.431,7.2,8.8
66,"ENGINEERING, ELECTRICAL & ELECTRONIC",SCIE,262,"56,393","1,476,892",1.663,2.577,0.477,6.8,7.1
