Seq #,Journal Title,ISSN,E-ISSN,WoS Edition,WoS Category,Active WoS CC
D2783J,2D Materials,2053-1583,2053-1583,SCIE,MATERIALS SCIENCE> MULTIDISCIPLINARY,Yes
D2794J,3 Biotech,2190-572X,2190-5738,SCIE,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,Yes
D7474J,3C Empresa,2254-3376,2254-3376,ESCI,BUSINESS,Yes
D9877J,3c Tecnologia,2254-4143,2254-4143,ESCI,ENGINEERING> MULTIDISCIPLINARY,Yes
D9334J,3C Tic,2254-6529,2254-6529,ESCI,COMPUTER SCIENCE> THEORY & METHODS,Yes
D6007J,3D Printing and Additive Manufacturing,2329-7662,2329-7670,SCIE,ENGINEERING> MANUFACTURING,Yes
D6007J,3D Printing and Additive Manufacturing,2329-7662,2329-7670,SCIE,MATERIALS SCIENCE> MULTIDISCIPLINARY,Yes
D5327J,3D Research,2092-6731,2092-6731,ESCI,ENGINEERING> ELECTRICAL & ELECTRONIC,Yes
D4294J,3L-Language Linguistics Literature-The Southeast Asian Journal of English Language Studies,0128-5157,0128-5157,ESCI,LANGUAGE & LINGUISTICS,Yes
D5511J,452 F-Revista de Teoria de la Literatura y Literatura Comparada,2013-3294,2013-3294,ESCI,LITERATURE,Yes
C7466J,4OR-A Quarterly Journal of Operations Research,1619-4500,1614-2411,SCIE,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,Yes
D3769J,A & A Case Reports,2325-7237,2325-7237,ESCI,ANESTHESIOLOGY,No
E0608J,A & A Practice,2325-7237,2325-7237,ESCI,ANESTHESIOLOGY,Yes
01616J,A + U-ARCHITECTURE AND URBANISM,0389-9160,,AHCI,ARCHITECTURE,Yes
11693J,A N A E-APPROCHE NEUROPSYCHOLOGIQUE DES APPRENTISSAGES CHEZ L ENFANT,0999-792X,,SCIE,CLINICAL NEUROLOGY,No
11693J,A N A E-APPROCHE NEUROPSYCHOLOGIQUE DES APPRENTISSAGES CHEZ L ENFANT,0999-792X,,SCIE,NEUROSCIENCES,No
00683J,A WAKE NEWSLITTER,0049-6847,,AHCI,LITERATURE,No
E0529J,A&C-Revista de Direito Administrativo & Constitucional,1516-3210,1984-4182,ESCI,LAW,Yes
04616J,AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,0171-5410,,AHCI,LITERATURE,Yes
04616J,AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,0171-5410,,AHCI,LANGUAGE & LINGUISTICS,Yes
D9878J,AACA Digital,1988-5180,1988-5180,ESCI,ART,No
06668J,AACE BULLETIN,0001-0049,,SCIE,COMPUTER SCIENCE> INFORMATION SYSTEMS,No
00012J,AANA JOURNAL-AMERICAN ASSOCIATION OF NURSE ANESTHETISTS,0094-6354,,SCIE,NURSING,No
00012J,AANA JOURNAL-AMERICAN ASSOCIATION OF NURSE ANESTHETISTS,0094-6354,,SCIE,ANESTHESIOLOGY,No
06970J,AAOHN JOURNAL,0891-0162,,SCIE>SSCI,PUBLIC> ENVIRONMENTAL & OCCUPATIONAL HEALTH,No
06970J,AAOHN JOURNAL,0891-0162,,SCIE>SSCI,NURSING,No
00014J,AAPG BULLETIN,0149-1423,1558-9153,SCIE,GEOSCIENCES> MULTIDISCIPLINARY,Yes
C5767J,AAPS Journal,1550-7416,1550-7416,SCIE,PHARMACOLOGY & PHARMACY,Yes
13290J,AAPS PHARMSCI,1522-1059,,SCIE,PHARMACOLOGY & PHARMACY,No
C2023J,AAPS PHARMSCITECH,1530-9932,1530-9932,SCIE,PHARMACOLOGY & PHARMACY,Yes
D4537J,AATCC Journal of Research,2330-5517,2330-5517,SCIE,MATERIALS SCIENCE> TEXTILES,Yes
13529J,AATCC REVIEW,1532-8813,1532-8813,SCIE,MATERIALS SCIENCE> TEXTILES,Yes
13529J,AATCC REVIEW,1532-8813,1532-8813,SCIE,ENGINEERING> CHEMICAL,Yes
13529J,AATCC REVIEW,1532-8813,1532-8813,SCIE,CHEMISTRY> APPLIED,Yes
D5788J,Ab Imperio-Studies of New Imperial History and Nationalism in the Post-Soviet Space,2166-4072,2164-9731,ESCI> AHCI,HISTORY,Yes
06889J,ABA JOURNAL,0747-0088,,SSCI,LAW,No
C6372J,Abacus-A Journal of Accounting Finance and Business Studies,0001-3072,1467-6281,SSCI,BUSINESS> FINANCE,Yes
D5512J,Abakos,2316-9451,2316-9451,ESCI,MATHEMATICS> INTERDISCIPLINARY APPLICATIONS,Yes
D9879J,Abanico Veterinario,2007-4204,2007-4204,ESCI,VETERINARY SCIENCES,Yes
D1670J,ABCD-Arquivos Brasileiros de Cirurgia Digestiva-Brazilian Archives of Digestive Surgery,0102-6720,2317-6326,ESCI,GASTROENTEROLOGY & HEPATOLOGY,Yes
10110J,ABDOMINAL IMAGING,0942-8925,,SCIE,RADIOLOGY> NUCLEAR MEDICINE & MEDICAL IMAGING,No
10110J,ABDOMINAL IMAGING,0942-8925,,SCIE,GASTROENTEROLOGY & HEPATOLOGY,No
D5946J,Abdominal Radiology,2366-004X,2366-0058,SCIE,RADIOLOGY> NUCLEAR MEDICINE & MEDICAL IMAGING,Yes
D8941J,ABE Journal,2275-6639,2275-6639,ESCI,ARCHITECTURE,Yes
03637J,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,0025-5858,1865-8784,SCIE,MATHEMATICS,Yes
D6579J,Aboriginal History,0314-8769,1837-9389,ESCI,HISTORY,Yes
D3343J,Aboriginal Policy Studies,1923-3299,1923-3299,ESCI,SOCIAL SCIENCES> INTERDISCIPLINARY,Yes
03301J,ABOUT THE HOUSE,0001-3242,,AHCI,DANCE,No
03301J,ABOUT THE HOUSE,0001-3242,,AHCI,MUSIC,No
00022J,ABRASIVE ENGINEERING,,,SCIE,ENGINEERING> MECHANICAL,No
D5590J,Abriu-Estudos de Textualidade do Brasil Galicia e Portugal,2014-8526,2014-8534,ESCI,HUMANITIES> MULTIDISCIPLINARY,Yes
C6513J,Abstract and Applied Analysis,1085-3375,,SCIE,MATHEMATICS> APPLIED,No
C6513J,Abstract and Applied Analysis,1085-3375,,SCIE,MATHEMATICS,No
00044J,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,0065-7727,,SCIE,CHEMISTRY> MULTIDISCIPLINARY,Yes
01832J,ACADEME-BULLETIN OF THE AAUP,0190-2946,,SSCI,EDUCATION & EDUCATIONAL RESEARCH,No
D9421J,Academia y Virtualidad,2011-0731,2011-0731,ESCI,EDUCATION & EDUCATIONAL RESEARCH,Yes
C8362J,Academia-Revista Latinoamericana de Administracion,1012-8255,1012-8255,SSCI,MANAGEMENT,Yes
C8362J,Academia-Revista Latinoamericana de Administracion,1012-8255,1012-8255,SSCI,BUSINESS,Yes
