"","x"
"1","ACOUSTICS"
"2","AGRICULTURAL ECONOMICS & POLICY"
"3","AGRICULTURAL ENGINEERING"
"4","AGRICULTURE, DAIRY & ANIMAL SCIENCE"
"5","AGRICULTURE, MULTIDISCIPLINARY"
"6","AGRONOMY"
"7","ALLERGY"
"8","ANATOMY & MORPHOLOGY"
"9","ANDROLOGY"
"10","ANESTHESIOLOGY"
"11","ANTHROPOLOGY"
"12","ARCHAEOLOGY"
"13","ARCHITECTURE"
"14","AREA STUDIES"
"15","ART"
"16","ASIAN STUDIES"
"17","ASTRONOMY & ASTROPHYSICS"
"18","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY"
"19","AUTOMATION & CONTROL SYSTEMS"
"20","BEHAVIORAL SCIENCES"
"21","BIOCHEMICAL RESEARCH METHODS"
"22","BIOCHEMISTRY & MOLECULAR BIOLOGY"
"23","BIODIVERSITY CONSERVATION"
"24","BIOLOGY"
"25","BIOPHYSICS"
"26","BIOTECHNOLOGY & APPLIED MICROBIOLOGY"
"27","BUSINESS"
"28","BUSINESS, FINANCE"
"29","CARDIAC & CARDIOVASCULAR SYSTEMS"
"30","CELL & TISSUE ENGINEERING"
"31","CELL BIOLOGY"
"32","CHEMISTRY, ANALYTICAL"
"33","CHEMISTRY, APPLIED"
"34","CHEMISTRY, INORGANIC & NUCLEAR"
"35","CHEMISTRY, MEDICINAL"
"36","CHEMISTRY, MULTIDISCIPLINARY"
"37","CHEMISTRY, ORGANIC"
"38","CHEMISTRY, PHYSICAL"
"39","CLASSICS"
"40","CLINICAL NEUROLOGY"
"41","COMMUNICATION"
"42","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
"43","COMPUTER SCIENCE, CYBERNETICS"
"44","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE"
"45","COMPUTER SCIENCE, INFORMATION SYSTEMS"
"46","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS"
"47","COMPUTER SCIENCE, SOFTWARE ENGINEERING"
"48","COMPUTER SCIENCE, THEORY & METHODS"
"49","CONSTRUCTION & BUILDING TECHNOLOGY"
"50","CRIMINOLOGY & PENOLOGY"
"51","CRITICAL CARE MEDICINE"
"52","CRYSTALLOGRAPHY"
"53","CULTURAL STUDIES"
"54","DANCE"
"55","DEMOGRAPHY"
"56","DENTISTRY, ORAL SURGERY & MEDICINE"
"57","DERMATOLOGY"
"58","DEVELOPMENTAL BIOLOGY"
"59","ECOLOGY"
"60","ECONOMICS"
"61","EDUCATION & EDUCATIONAL RESEARCH"
"62","EDUCATION, SCIENTIFIC DISCIPLINES"
"63","EDUCATION, SPECIAL"
"64","ELECTROCHEMISTRY"
"65","EMERGENCY MEDICINE"
"66","ENDOCRINOLOGY & METABOLISM"
"67","ENERGY & FUELS"
"68","ENGINEERING, AEROSPACE"
"69","ENGINEERING, BIOMEDICAL"
"70","ENGINEERING, CHEMICAL"
"71","ENGINEERING, CIVIL"
