,unique,num,freq,global
45,"COMPUTER   SCIENCE, INTERDISCIPLINARY APPLICATIONS",50,5,computer science
51,"COMPUTER SCIENCE,   INTERDISCIPLINARY APPLICATIONS",50,291,computer science
61,"COMPUTER SCIENCE, INTERDISCIPLINARY   APPLICATIONS",50,45,computer science
62,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",48,583,computer science
194,"MATERIALS   SCIENCE, CHARACTERIZATION \& TESTING",48,2,materials science
200,"MATERIALS SCIENCE,   CHARACTERIZATION \& TESTING",48,13,materials science
204,"MATERIALS SCIENCE, CHARACTERIZATION   \& TESTING",48,1,materials science
205,"MATERIALS SCIENCE, CHARACTERIZATION \&   TESTING",48,5,materials science
325,"RADIOLOGY,   NUCLEAR MEDICINE \& MEDICAL IMAGING",48,1,radiology
326,"RADIOLOGY, NUCLEAR   MEDICINE \& MEDICAL IMAGING",48,16,radiology
327,"RADIOLOGY, NUCLEAR MEDICINE   \& MEDICAL IMAGING",48,1,radiology
328,"RADIOLOGY, NUCLEAR MEDICINE \&   MEDICAL IMAGING",48,13,radiology
329,"RADIOLOGY, NUCLEAR MEDICINE \& MEDICAL   IMAGING",48,13,radiology
206,"MATERIALS SCIENCE, CHARACTERIZATION \& TESTING",46,27,materials science
320,"PUBLIC,   ENVIRONMENTAL \& OCCUPATIONAL HEALTH",46,7,public
321,"PUBLIC, ENVIRONMENTAL   \& OCCUPATIONAL HEALTH",46,1,public
322,"PUBLIC, ENVIRONMENTAL \&   OCCUPATIONAL HEALTH",46,4,public
323,"PUBLIC, ENVIRONMENTAL \& OCCUPATIONAL   HEALTH",46,6,public
330,"RADIOLOGY, NUCLEAR MEDICINE \& MEDICAL IMAGING",46,153,radiology
219,"MATHEMATICS, INTERDISCIPLINARY   APPLICATIONS",45,7,mathematics
49,"COMPUTER SCIENCE,   HARDWARE \& ARCHITECTURE",44,1,computer science
57,"COMPUTER SCIENCE, HARDWARE \&   ARCHITECTURE",44,41,computer science
143,GREEN \& SUSTAINABLE SCIENCE \&   TECHNOLOGY,44,7,green
160,IMAGING   SCIENCE \& PHOTOGRAPHIC TECHNOLOGY,44,9,imaging
161,IMAGING SCIENCE   \& PHOTOGRAPHIC TECHNOLOGY,44,4,imaging
162,IMAGING SCIENCE \&   PHOTOGRAPHIC TECHNOLOGY,44,53,imaging
163,IMAGING SCIENCE \& PHOTOGRAPHIC   TECHNOLOGY,44,80,imaging
324,"PUBLIC, ENVIRONMENTAL \& OCCUPATIONAL HEALTH",44,97,public
54,"COMPUTER SCIENCE, ARTIFICIAL   INTELLIGENCE",43,42,computer science
220,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",43,13,mathematics
257,OPERATIONS   RESEARCH \& MANAGEMENT SCIENCE,43,13,operations research
258,OPERATIONS RESEARCH   \& MANAGEMENT SCIENCE,43,20,operations research
259,OPERATIONS RESEARCH \&   MANAGEMENT SCIENCE,43,48,operations research
260,OPERATIONS RESEARCH \& MANAGEMENT   SCIENCE,43,47,operations research
58,"COMPUTER SCIENCE, HARDWARE \& ARCHITECTURE",42,310,computer science
144,GREEN \& SUSTAINABLE SCIENCE \& TECHNOLOGY,42,76,green
164,IMAGING SCIENCE \& PHOTOGRAPHIC TECHNOLOGY,42,235,imaging
55,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",41,569,computer science
233,METALLURGY \&   METALLURGICAL ENGINEERING,41,1,metallurgy
