"","Var1","Freq"
"1","1975",1
"2","1978",1
"3","1980",1
"4","1986",1
"5","1987",1
"6","1988",1
"7","1991",13
"8","1992",13
"9","1993",22
"10","1994",27
"11","1995",28
"12","1996",56
"13","1997",73
"14","1998",81
"15","1999",76
"16","2000",95
"17","2001",99
"18","2002",127
"19","2003",164
"20","2004",189
"21","2005",195
"22","2006",235
"23","2007",290
"24","2008",302
"25","2009",368
"26","2010",421
"27","2011",466
"28","2012",530
"29","2013",653
"30","2014",653
"31","2015",1070
"32","2016",1260
"33","2017",1390
"34","2018",340
